machine_name,model_name,board_name,lot_number,model_code,default_date,volume,rest_volume,line_code,productions,divisions_volume
GC06,NXR-G240/L,KUMQUAT MAIN,1199618-10,Y8470174R,2025-12-05,100.0,0,GT05,"{datetime.datetime(2025, 12, 5, 0, 0): 100}",1
GC06,NXR-G240/L,KUMQUAT MAIN,1199377-20,Y8470174R,2025-12-05,1.0,0,GT05,"{datetime.datetime(2025, 12, 5, 0, 0): 1}",1
GC06,NXR-G240/L,KUMQUAT MAIN,1199618-20,Y8470174R,2025-12-05,100.0,0,GT05,"{datetime.datetime(2025, 12, 5, 0, 0): 100}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1199667-10,Y8470720R,2025-11-07,1.0,0,GC03,"{datetime.datetime(2025, 11, 16, 0, 0): 1}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199966-20,Y8470811R,2025-11-20,400.0,0,GC03,"{datetime.datetime(2025, 11, 20, 0, 0): 400}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199967-20,Y8470811R,2025-11-20,400.0,0,GC03,"{datetime.datetime(2025, 11, 20, 0, 0): 400}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199968-20,Y8470811R,2025-11-20,400.0,0,GC03,"{datetime.datetime(2025, 11, 20, 0, 0): 400}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199969-20,Y8470811R,2025-11-26,400.0,0,GC03,"{datetime.datetime(2025, 11, 26, 0, 0): 400}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199970-20,Y8470811R,2025-11-26,400.0,0,GC03,"{datetime.datetime(2025, 11, 26, 0, 0): 400}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199143-10,Y8470811R,2025-11-05,400.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 1}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199143-20,Y8470811R,2025-11-05,1.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 1}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1199667-20,Y8470720R,2025-11-07,1.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 1}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1199469-10,Y8470720R,2025-11-17,1.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 1}",1
GC06,CN-SNDDJ0CJ,410BMAIN,1199469-20,Y8470720R,2025-11-17,1.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 1}",1
GC06,CN-SNDFJ0CJ,410BMAIN,1199666-10,Y8470720R,2025-11-28,1.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 4}",1
GC06,CN-SNDFJ0CJ,770AMAIN,1199666-20,Y8470811R,2025-11-28,4.0,0,GC03,"{datetime.datetime(2025, 11, 19, 0, 0): 4}",1
GC06,NXR-G240,KUMQUAT MAIN,1199919-10,Y8470171R,2025-12-29,50.0,0,GT05,"{datetime.datetime(2025, 11, 17, 0, 0): 50}",1
GC06,NXR-G240,KUMQUAT MAIN,1199919-20,Y8470171R,2025-12-29,50.0,0,GT05,"{datetime.datetime(2025, 11, 17, 0, 0): 50}",1
GC06,NXR-G240,KUMQUAT MAIN,-10,Y8470171R,2026-03-03,50.0,0,GT05,"{datetime.datetime(2025, 11, 17, 0, 0): 200}",1
GC06,NXR-G240,KUMQUAT MAIN,-20,Y8470171R,2026-03-03,200.0,0,GT05,"{datetime.datetime(2025, 11, 17, 0, 0): 200}",1
GC06,NXR-G260,KUMQUAT MAIN,1199292-10,Y8470372R,2025-11-07,,0,GT05,"{datetime.datetime(2025, 11, 18, 0, 0): 130}",1
GC06,NXR-G260,LOQUAT MAIN,1199292-20,Y8470180R,2025-11-07,130.0,0,GT05,"{datetime.datetime(2025, 11, 18, 0, 0): 130}",1
GC06,NXR-G260/L,LOQUAT MAIN,1193505-10,Y8470180R,2025-04-17,130.0,0,GT05,"{datetime.datetime(2025, 11, 20, 0, 0): 70}",1
GC06,NXR-G260/L,LOQUAT MAIN,1193505-20,Y8470169R,2025-04-17,70.0,0,GT05,"{datetime.datetime(2025, 11, 20, 0, 0): 70}",1
GC06,CAM-009,LOQUAT MAIN,1198375-10,Y8470169R,2025-09-16,70.0,0,GC12,"{datetime.datetime(2025, 11, 17, 0, 0): 152}",8
GC06,CAM-009,CAM-009集合,1198377-10,Y8470133R,2025-09-22,152.0,0,GC12,"{datetime.datetime(2025, 11, 17, 0, 0): 160}",8
GC06,CAM-009,CAM-009集合,1198464-10,Y8470133R,2025-09-26,160.0,0,GC12,"{datetime.datetime(2025, 11, 17, 0, 0): 600}",8
GC06,CAM-009,CAM-009集合,1198501-10,Y8470133R,2025-10-06,600.0,0,GC12,"{datetime.datetime(2025, 11, 17, 0, 0): 600}",8
